overall_rank,position,position_rank,player_name,team
1,WR,WR1,Ja'Marr Chase,CIN
2,RB,RB1,Bijan Robinson,ATL
3,WR,WR2,Justin Jefferson,MIN
4,RB,RB2,Saquon Barkley,PHI
5,RB,RB3,Jahmyr Gibbs,DET
6,WR,WR3,CeeDee Lamb,DAL
7,RB,RB4,Christian McCaffrey,SF
8,WR,WR4,Puka Nacua,LAR
9,WR,WR5,Malik Nabers,NYG
10,WR,WR6,Amon-Ra St. Brown,DET
11,RB,RB5,Derrick Henry,BAL
12,RB,RB6,Ashton Jeanty,LV
13,WR,WR7,Nico Collins,HOU
14,WR,WR8,Brian Thomas Jr.,JAC
15,WR,WR9,A.J. Brown,PHI
16,WR,WR10,Drake London,ATL
17,RB,RB7,Jonathan Taylor,IND
18,RB,RB8,De'Von Achane,MIA
19,RB,RB9,Josh Jacobs,GB
20,TE,TE1,Brock Bowers,LV
21,TE,TE2,Trey McBride,ARI
22,RB,RB10,Kyren Williams,LAR
23,RB,RB11,Bucky Irving,TB
24,WR,WR11,Tee Higgins,CIN
25,WR,WR12,Tyreek Hill,MIA
26,WR,WR13,Davante Adams,LAR
27,WR,WR14,Ladd McConkey,LAC
28,QB,QB1,Josh Allen,BUF
29,QB,QB2,Lamar Jackson,BAL
30,QB,QB3,Jayden Daniels,WAS
31,QB,QB4,Jalen Hurts,PHI
32,RB,RB12,Chase Brown,CIN
33,RB,RB13,James Cook,BUF
34,WR,WR15,Terry McLaurin,WAS
35,WR,WR16,Mike Evans,TB
36,WR,WR17,Jaxon Smith-Njigba,SEA
37,RB,RB14,Omarion Hampton,LAC
38,RB,RB15,Kenneth Walker III,SEA
39,QB,QB5,Joe Burrow,CIN
40,TE,TE3,George Kittle,SF
41,RB,RB16,Chuba Hubbard,CAR
42,RB,RB17,Alvin Kamara,NO
43,RB,RB18,James Conner,ARI
44,RB,RB19,TreVeyon Henderson,NE
45,RB,RB20,Breece Hall,NYJ
46,WR,WR18,Xavier Worthy,KC
47,WR,WR19,Marvin Harrison Jr.,ARI
48,WR,WR20,Garrett Wilson,NYJ
49,WR,WR21,DK Metcalf,PIT
50,WR,WR22,Zay Flowers,BAL
51,WR,WR23,Calvin Ridley,TEN
52,RB,RB21,D'Andre Swift,CHI
53,WR,WR24,Courtland Sutton,DEN
54,WR,WR25,DJ Moore,CHI
55,WR,WR26,Rashee Rice,KC
56,WR,WR27,Jameson Williams,DET
57,WR,WR28,DeVonta Smith,PHI
58,WR,WR29,George Pickens,DAL
59,WR,WR30,Jaylen Waddle,MIA
60,WR,WR31,Rome Odunze,CHI
61,TE,TE4,Sam LaPorta,DET
62,QB,QB6,Patrick Mahomes,KC
63,QB,QB7,Baker Mayfield,TB
64,WR,WR32,Tetairoa McMillan,CAR
65,WR,WR33,Jerry Jeudy,CLE
66,WR,WR34,Travis Hunter,JAC
67,RB,RB22,David Montgomery,DET
68,RB,RB23,Tony Pollard,TEN
69,TE,TE5,T.J. Hockenson,MIN
70,RB,RB24,Isiah Pacheco,KC
71,RB,RB25,Aaron Jones,MIN
72,RB,RB26,RJ Harvey,DEN
73,WR,WR35,Chris Godwin,TB
74,WR,WR36,Matthew Golden,GB
75,WR,WR37,Cooper Kupp,SEA
76,WR,WR38,Jakobi Meyers,LV
77,WR,WR39,Chris Olave,NO
78,WR,WR40,Jordan Addison,MIN
79,WR,WR41,Deebo Samuel Sr.,WAS
80,RB,RB27,Kaleb Johnson,PIT
81,RB,RB28,Tyrone Tracy Jr.,NYG
82,RB,RB29,Joe Mixon,HOU
83,TE,TE6,Mark Andrews,BAL
84,TE,TE7,Travis Kelce,KC
85,TE,TE8,David Njoku,CLE
86,TE,TE9,Tucker Kraft,GB
87,QB,QB8,Bo Nix,DEN
88,QB,QB9,Kyler Murray,ARI
89,QB,QB10,Brock Purdy,SF
90,RB,RB30,Brian Robinson Jr.,WAS
91,RB,RB31,Jaylen Warren,PIT
92,RB,RB32,Quinshon Judkins,CLE
93,RB,RB33,J.K. Dobbins,DEN
94,RB,RB34,Rhamondre Stevenson,NE
95,RB,RB35,Javonte Williams,DAL
96,WR,WR42,Stefon Diggs,NE
97,WR,WR43,Keon Coleman,BUF
98,WR,WR44,Jauan Jennings,SF
99,WR,WR45,Ricky Pearsall,SF
100,WR,WR46,Khalil Shakir,BUF
101,WR,WR47,Jayden Reed,GB
102,WR,WR48,Michael Pittman Jr.,IND
103,QB,QB11,Justin Herbert,LAC
104,QB,QB12,Caleb Williams,CHI
105,QB,QB13,Dak Prescott,DAL
106,QB,QB14,Justin Fields,NYJ
107,WR,WR49,Darnell Mooney,ATL
108,WR,WR50,Keenan Allen,LAC
109,WR,WR51,Josh Downs,IND
110,WR,WR52,Rashid Shaheed,NO
111,WR,WR53,Jayden Higgins,HOU
112,WR,WR54,Emeka Egbuka,TB
113,TE,TE10,Evan Engram,DEN
