overall_rank,position,position_rank,player_name,team,adp
1,WR,WR1,Ja'Marr Chase,CIN,2.2
2,RB,RB1,Bijan Robinson,ATL,4.0
3,RB,RB2,Jahmyr Gibbs,DET,4.5
4,RB,RB3,Saquon Barkley,PHI,4.6
5,WR,WR2,Justin Jefferson,MIN,6.8
6,WR,WR3,CeeDee Lamb,DAL,7.2
7,RB,RB4,Christian McCaffrey,SF,8.5
8,RB,RB5,Derrick Henry,BAL,8.9
9,RB,RB6,Ashton Jeanty,LV,11.0
10,WR,WR4,Nico Collins,HOU,12.4
11,WR,WR5,Amon-Ra St. Brown,DET,12.4
12,WR,WR6,Malik Nabers,NYG,15.2
13,WR,WR7,Puka Nacua,LAR,16.5
14,RB,RB7,Josh Jacobs,GB,16.5
15,RB,RB8,Jonathan Taylor,IND,17.0
16,WR,WR8,Drake London,ATL,20.2
17,RB,RB9,De'Von Achane,MIA,20.4
18,WR,WR9,Brian Thomas Jr.,JAC,22.3
19,WR,WR10,A.J. Brown,PHI,22.6
20,RB,RB10,Kyren Williams,LAR,22.9
21,RB,RB11,Chase Brown,CIN,23.8
22,QB,QB1,Josh Allen,BUF,26.5
23,RB,RB12,Bucky Irving,TB,26.5
24,TE,TE1,Brock Bowers,LV,28.3
25,RB,RB13,James Cook,BUF,28.4
26,WR,WR11,Ladd McConkey,LAC,29.7
27,QB,QB2,Lamar Jackson,BAL,31.0
28,TE,TE2,Trey McBride,ARI,31.9
29,TE,TE3,George Kittle,SF,32.9
30,WR,WR12,Tee Higgins,CIN,33.2
31,RB,RB14,Omarion Hampton,LAC,33.2
32,WR,WR13,Mike Evans,TB,35.9
33,RB,RB15,Kenneth Walker III,SEA,37.1
34,WR,WR14,Tyreek Hill,MIA,38.0
35,WR,WR15,Marvin Harrison Jr.,ARI,38.7
36,QB,QB3,Jayden Daniels,WAS,38.7
37,WR,WR16,Jaxon Smith-Njigba,SEA,38.9
38,QB,QB4,Jalen Hurts,PHI,39.1
39,RB,RB16,Breece Hall,NYJ,40.2
40,RB,RB17,Alvin Kamara,NO,42.5
41,WR,WR17,Terry McLaurin,WAS,43.0
42,WR,WR18,Davante Adams,LAR,43.4
43,RB,RB18,Chuba Hubbard,CAR,43.7
44,RB,RB19,James Conner,ARI,44.0
45,RB,RB20,TreVeyon Henderson,NE,45.8
46,QB,QB5,Joe Burrow,CIN,45.8
47,WR,WR19,Garrett Wilson,NYJ,46.0
48,WR,WR20,DK Metcalf,PIT,48.2
49,QB,QB6,Patrick Mahomes,KC,55.6
50,TE,TE4,Sam LaPorta,DET,55.6
51,RB,RB21,RJ Harvey,DEN,55.7
52,RB,RB22,David Montgomery,DET,57.3
53,RB,RB23,D'Andre Swift,CHI,58.3
54,WR,WR21,DJ Moore,CHI,59.0
55,WR,WR22,Xavier Worthy,KC,59.0
56,WR,WR23,DeVonta Smith,PHI,59.4
57,WR,WR24,Javonte Williams,DET,59.7
58,RB,RB24,Tony Pollard,TEN,59.8
59,WR,WR25,George Pickens,DAL,60.6
60,RB,RB25,Isiah Pacheco,KC,61.1
61,WR,WR26,Courtland Sutton,DEN,61.7
62,RB,RB26,Aaron Jones Sr.,MIN,65.9
63,WR,WR27,Zay Flowers,BAL,67.0
64,WR,WR28,Tetairoa McMillan,CAR,67.0
65,WR,WR29,Calvin Ridley,TEN,67.2
66,TE,TE5,Travis Kelce,KC,68.7
67,WR,WR30,Jaylen Waddle,MIA,69.9
68,TE,TE6,T.J. Hockenson,MIN,70.2
69,RB,RB27,Kaleb Johnson,PIT,70.3
70,TE,TE7,Mark Andrews,BAL,71.6
71,WR,WR31,Rashee Rice,KC,74.4
72,QB,QB7,Baker Mayfield,TB,77.2
73,WR,WR32,Travis Hunter,JAC,77.4
74,QB,QB8,Bo Nix,DEN,77.5
75,RB,RB28,Tyrone Tracy Jr.,NYG,79.9
76,WR,WR33,Rome Odunze,CHI,82.6
77,WR,WR34,Chris Olave,NO,84.3
78,WR,WR35,Emeka Egbuka,TB,84.4
79,RB,RB29,Jordan Mason,MIN,85.3
80,WR,WR36,Ricky Pearsall,SF,86.2
81,RB,RB30,Joe Mixon,HOU,86.8
82,RB,RB31,Jaylen Warren,PIT,87.6
83,WR,WR37,Jerry Jeudy,CLE,88.8
84,WR,WR38,Deebo Samuel Sr.,WAS,88.9
85,WR,WR39,Jakobi Meyers,LV,92.6
86,WR,WR40,Stefon Diggs,NE,93.2
87,TE,TE8,Evan Engram,DEN,93.5
88,QB,QB9,Dak Prescott,DAL,93.9
89,TE,TE9,David Njoku,CLE,95.1
90,QB,QB10,Kyler Murray,ARI,95.7
