PLAYER,POS,TEAM,ESPN_ALG,ESPN_PROJ,ADP_SLEEPER,ACTUAL_DRAFT_20250823,BYE
Bijan Robinson,RB,ATL,1,2,4.0,2,5
Justin Jefferson,WR,MIN,2,3,6.8,4,6
Saquon Barkley,RB,PHI,3,4,4.6,3,9
Jahmyr Gibbs,RB,DET,4,5,4.5,9,8
CeeDee Lamb,WR,DAL,5,6,7.2,11,10
Christian McCaffrey,RB,SF,6,7,8.5,7,14
Puka Nacua,WR,LAR,7,8,16.5,5,6
Malik Nabers,WR,NYG,8,9,15.2,12,11
Amon-Ra St. Brown,WR,DET,9,10,12.4,6,8
Derrick Henry,RB,BAL,10,11,8.9,8,
Ashton Jeanty,RB,LV,11,12,11.0,13,8
Nico Collins,WR,HOU,12,13,12.4,10,7
Brian Thomas Jr.,WR,JAC,13,14,22.3,14,
A.J. Brown,WR,PHI,14,15,22.6,15,9
Drake London,WR,ATL,15,16,20.2,17,5
Jonathan Taylor,RB,IND,16,17,17.0,21,14
De'Von Achane,RB,MIA,17,18,20.4,16,5
Josh Jacobs,RB,GB,18,19,16.5,26,10
Brock Bowers,TE,LV,19,20,28.3,20,8
Trey McBride,TE,ARI,20,21,31.9,23,
Kyren Williams,RB,LAR,21,22,163.8,18,6
Bucky Irving,RB,TB,22,23,26.5,19,5
Tee Higgins,WR,CIN,23,24,33.2,25,10
Tyreek Hill,WR,MIA,24,25,38.0,28,5
Davante Adams,WR,LAR,25,26,43.4,22,6
Ladd McConkey,WR,LAC,26,27,29.7,29,8
Josh Allen,QB,BUF,27,28,26.5,24,12
Lamar Jackson,QB,BAL,28,29,31.0,31,
Jayden Daniels,QB,WAS,29,30,38.7,36,12
Jalen Hurts,QB,PHI,30,31,39.1,35,9
Chase Brown,RB,CIN,31,32,23.8,27,10
James Cook,RB,BUF,32,33,28.4,34,12
Terry McLaurin,WR,WAS,33,34,43.0,37,12
Mike Evans,WR,TB,34,35,35.9,32,5
Jaxon Smith-Njigba,WR,SEA,35,36,38.9,33,5
Omarion Hampton,RB,LAC,36,37,33.2,30,8
Chuba Hubbard,RB,CAR,37,41,43.7,38,11
Joe Burrow,QB,CIN,38,39,45.8,41,10
George Kittle,TE,SF,39,40,32.9,40,14
James Conner,RB,ARI,40,43,44.0,42,
Alvin Kamara,RB,NO,41,42,42.5,44,12
TreVeyon Henderson,RB,NE,42,44,45.8,39,11
Kenneth Walker III,RB,SEA,43,38,37.1,43,5
Breece Hall,RB,NYJ,44,45,40.2,45,5
Xavier Worthy,WR,KC,45,46,59.0,49,10
Marvin Harrison Jr.,WR,ARI,46,47,38.7,46,
Garrett Wilson,WR,NYJ,47,48,46.0,48,5
DK Metcalf,WR,PIT,48,49,48.2,54,8
Zay Flowers,WR,BAL,49,50,67.0,51,
Calvin Ridley,WR,TEN,50,51,67.2,47,5
D'Andre Swift,RB,CHI,51,52,58.3,52,5
Courtland Sutton,WR,DEN,52,53,61.7,59,7
DJ Moore,WR,CHI,53,54,59.0,50,5
Rashee Rice,WR,KC,54,55,74.4,61,10
Jameson Williams,WR,DET,55,56,,62,8
George Pickens,WR,DAL,56,58,60.6,66,10
